2026/02/17 15:25:07.722, 1, NVIDIA GeForce GTX 1060 6GB, 93 %, 70 %, 4799 MiB, 122.35 W, 70, P2
2026/02/17 15:25:08.724, 0, NVIDIA GeForce GTX 1060, 96 %, 67 %, 4871 MiB, 71.18 W, 60, P2
2026/02/17 15:25:08.728, 1, NVIDIA GeForce GTX 1060 6GB, 94 %, 71 %, 4799 MiB, 119.15 W, 70, P2
2026/02/17 15:25:09.731, 0, NVIDIA GeForce GTX 1060, 96 %, 65 %, 4871 MiB, 70.16 W, 60, P2
2026/02/17 15:25:09.738, 1, NVIDIA GeForce GTX 1060 6GB, 95 %, 72 %, 4799 MiB, 108.71 W, 70, P2
2026/02/17 15:25:10.740, 0, NVIDIA GeForce GTX 1060, 94 %, 64 %, 4871 MiB, 72.86 W, 60, P2
2026/02/17 15:25:10.742, 1, NVIDIA GeForce GTX 1060 6GB, 93 %, 71 %, 4799 MiB, 37.51 W, 70, P2
2026/02/17 15:25:11.745, 0, NVIDIA GeForce GTX 1060, 94 %, 66 %, 4871 MiB, 71.64 W, 61, P2
2026/02/17 15:25:11.763, 1, NVIDIA GeForce GTX 1060 6GB, 0 %, 0 %, 4799 MiB, 36.07 W, 66, P2
2026/02/17 15:25:12.765, 0, NVIDIA GeForce GTX 1060, 96 %, 67 %, 4871 MiB, 74.30 W, 61, P2
2026/02/17 15:25:12.790, 1, NVIDIA GeForce GTX 1060 6GB, 0 %, 0 %, 4799 MiB, 35.97 W, 66, P2
2026/02/17 15:25:13.797, 0, NVIDIA GeForce GTX 1060, 96 %, 66 %, 4871 MiB, 74.00 W, 62, P2
2026/02/17 15:25:13.801, 1, NVIDIA GeForce GTX 1060 6GB, 0 %, 0 %, 4799 MiB, 35.99 W, 65, P2
2026/02/17 15:25:14.804, 0, NVIDIA GeForce GTX 1060, 96 %, 66 %, 4871 MiB, 74.57 W, 62, P2
2026/02/17 15:25:14.812, 1, NVIDIA GeForce GTX 1060 6GB, 0 %, 0 %, 4799 MiB, 35.74 W, 65, P2
2026/02/17 15:25:15.814, 0, NVIDIA GeForce GTX 1060, 96 %, 66 %, 4871 MiB, 74.88 W, 63, P2
2026/02/17 15:25:15.822, 1, NVIDIA GeForce GTX 1060 6GB, 0 %, 0 %, 4799 MiB, 35.40 W, 64, P2
2026/02/17 15:25:16.827, 0, NVIDIA GeForce GTX 1060, 96 %, 67 %, 4871 MiB, 74.13 W, 63, P2
2026/02/17 15:25:16.829, 1, NVIDIA GeForce GTX 1060 6GB, 0 %, 0 %, 4799 MiB, 35.40 W, 64, P2
2026/02/17 15:25:17.831, 0, NVIDIA GeForce GTX 1060, 95 %, 65 %, 4871 MiB, 71.96 W, 63, P2
2026/02/17 15:25:17.833, 1, NVIDIA GeForce GTX 1060 6GB, 0 %, 0 %, 4799 MiB, 35.31 W, 64, P2
2026/02/17 15:25:18.835, 0, NVIDIA GeForce GTX 1060, 94 %, 64 %, 4871 MiB, 69.53 W, 64, P2
2026/02/17 15:25:18.845, 1, NVIDIA GeForce GTX 1060 6GB, 0 %, 0 %, 4799 MiB, 35.32 W, 63, P2
2026/02/17 15:25:19.848, 0, NVIDIA GeForce GTX 1060, 96 %, 67 %, 4871 MiB, 77.18 W, 64, P2
2026/02/17 15:25:19.860, 1, NVIDIA GeForce GTX 1060 6GB, 0 %, 0 %, 4799 MiB, 35.32 W, 63, P2
2026/02/17 15:25:20.862, 0, NVIDIA GeForce GTX 1060, 95 %, 66 %, 4871 MiB, 77.58 W, 64, P2
2026/02/17 15:25:20.878, 1, NVIDIA GeForce GTX 1060 6GB, 0 %, 0 %, 4799 MiB, 35.32 W, 63, P2
2026/02/17 15:25:21.884, 0, NVIDIA GeForce GTX 1060, 95 %, 66 %, 4871 MiB, 75.54 W, 64, P2
2026/02/17 15:25:21.892, 1, NVIDIA GeForce GTX 1060 6GB, 0 %, 0 %, 4799 MiB, 35.08 W, 62, P2
2026/02/17 15:25:22.894, 0, NVIDIA GeForce GTX 1060, 96 %, 66 %, 4871 MiB, 74.54 W, 65, P2
2026/02/17 15:25:22.907, 1, NVIDIA GeForce GTX 1060 6GB, 0 %, 0 %, 4799 MiB, 34.99 W, 62, P2
2026/02/17 15:25:23.911, 0, NVIDIA GeForce GTX 1060, 95 %, 65 %, 4871 MiB, 75.13 W, 65, P2
2026/02/17 15:25:23.922, 1, NVIDIA GeForce GTX 1060 6GB, 0 %, 0 %, 4799 MiB, 34.99 W, 62, P2
2026/02/17 15:25:24.924, 0, NVIDIA GeForce GTX 1060, 95 %, 65 %, 4871 MiB, 75.41 W, 65, P2
